City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
515,winnemucca,40.973,-117.7357,-2.9699999999999704,86,100,5.14,US,1680530585
516,kuusamo,65.9667,29.1833,-1.9799999999999613,46,0,3.09,FI,1680530585
517,dalbandin,28.8947,64.4101,25.49000000000001,14,67,7.57,PK,1680530586
518,grande prairie,55.1667,-118.8027,-5.899999999999977,93,100,1.03,CA,1680530358
519,panji,-7.7253,114.0995,24.08000000000004,91,100,2.24,ID,1680530587
520,hurricane,37.1753,-113.2899,13.260000000000048,51,10,0.72,US,1680530588
521,jimma,7.6667,36.8333,21.78000000000003,57,93,1.65,ET,1680530588
522,acapulco,16.8634,-99.8901,26.189999999999998,58,74,1.37,MX,1680530589
523,camacha,33.0833,-16.3333,19.680000000000007,68,20,6.69,PT,1680530590
524,hanting,36.7708,119.2108,11.54000000000002,70,100,5.82,CN,1680530590
525,okha,53.5739,142.9478,-2.4699999999999704,79,100,5.75,RU,1680530591
526,sisimiut,66.9395,-53.6735,-8.319999999999993,64,0,4.0,GL,1680530592
527,shenjiamen,29.9576,122.298,15.07000000000005,89,100,8.04,CN,1680530594
528,coahuayana,18.7333,-103.6833,23.390000000000043,47,100,0.87,MX,1680530595
529,homer,59.6425,-151.5483,-1.7899999999999636,70,100,1.7,US,1680530596
530,izmir,38.4622,27.0923,21.970000000000027,37,75,8.23,TR,1680530597
531,moberly,39.4184,-92.4382,11.990000000000009,62,0,4.92,US,1680530578
532,chongwe,-15.3292,28.682,22.82000000000005,69,86,2.13,ZM,1680530598
533,santa cruz cabralia,-16.2781,-39.0247,25.129999999999995,88,75,3.6,BR,1680530600
534,dancheng,33.6333,115.1833,12.25,98,100,5.26,CN,1680530600
535,pringsewu,-5.3582,104.9744,22.83000000000004,96,100,1.13,ID,1680530600
536,kuching,1.55,110.3333,25.57000000000005,90,40,1.03,MY,1680530601
537,amudat,1.95,34.95,26.24000000000001,54,19,6.4,UG,1680530603
538,dhidhdhoo,6.8833,73.1,28.30000000000001,67,57,3.21,MV,1680530605
539,wajima,37.4,136.9,10.03000000000003,76,0,4.52,JP,1680530606
540,along,28.1667,94.7667,15.04000000000002,95,98,0.93,IN,1680530607
541,west bay,19.3667,-81.4167,28.920000000000016,72,20,4.63,KY,1680530607
542,lima,-12.0432,-77.0282,24.140000000000043,78,0,3.09,PE,1680530433
543,vanavara,60.34,102.2797,-4.42999999999995,92,100,5.85,RU,1680530608
544,thunder bay,48.4001,-89.3168,-5.0499999999999545,74,100,2.57,CA,1680530448
545,banka,24.8833,86.9167,31.02000000000004,21,45,3.34,IN,1680530609
546,kendari,-3.945,122.4989,24.200000000000045,94,100,1.18,ID,1680530610
547,manono,-7.3,27.4167,27.730000000000018,75,41,0.69,CD,1680530610
548,puerto baquerizo moreno,-0.9,-89.6,26.400000000000034,74,60,1.54,EC,1680530612
549,johi,26.6921,67.6133,29.83000000000004,28,0,10.02,PK,1680530612
550,deputatskiy,69.3,139.9,-16.060000000000002,95,99,1.69,RU,1680530612
551,pinawa,50.1489,-95.8811,-9.289999999999964,83,100,4.7,CA,1680530612
